                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73147,                 3.4845,                 3.7286,                 1.1339,                0.04236,                0.86667,                0.20765,                0.18861,                0.38574,                0.38916,                0.20063,                0.18847,                0.34251,                 2.2579,                 3.3949,                0.90892,              0.0001785,              0.0001785,              0.0001785
                      2,                0.38776,                0.54203,                 1.3768,                0.92277,                0.87377,                0.37561,                0.44958,                0.42808,                0.86869,                0.36999,                0.42132,                0.40112,                0.32311,                 1.3728,                 1.9834,                0.89631,             0.00036054,             0.00036054,             0.00036054
                      3,                 0.3272,                0.47648,                 0.8549,                0.88089,                0.95632,                0.46603,                0.50611,                0.49292,                0.94564,                  0.445,                 0.4772,                0.46715,                0.27046,                 1.0864,                  1.402,                0.83313,             0.00053889,             0.00053889,             0.00053889
                      4,                0.31153,                0.46633,                0.71909,                0.86961,                0.83657,                 0.5359,                0.62338,                0.61244,                0.82024,                 0.5182,                0.59485,                0.58717,                0.26749,                 1.0924,                 1.0282,                0.83107,             0.00069279,             0.00069279,             0.00069279
                      5,                0.30078,                0.43421,                0.60497,                  0.868,                0.95552,                0.47161,                0.49957,                0.49104,                0.93624,                0.45447,                0.46773,                0.46264,                0.24662,                0.96142,                  1.083,                0.81559,             0.00069279,             0.00069279,             0.00069279
                      6,                0.29499,                0.43626,                0.52061,                0.86557,                 0.7795,                0.76357,                0.73485,                0.72398,                0.76241,                0.74586,                0.70523,                0.69515,                0.24039,                0.97445,                0.63757,                0.81267,             0.00068573,             0.00068573,             0.00068573
                      7,                0.28531,                0.41028,                0.46035,                0.86262,                0.78374,                0.71246,                0.74631,                0.73995,                0.76439,                0.69255,                0.71372,                0.69221,                0.22226,                 1.0273,                0.45977,                0.81353,             0.00067866,             0.00067866,             0.00067866
                      8,                0.28394,                 0.4091,                0.41292,                0.86109,                0.80954,                0.69308,                0.68922,                0.68383,                0.79103,                0.67425,                0.65801,                0.64264,                0.20997,                0.85463,                0.33814,                 0.8094,             0.00067159,             0.00067159,             0.00067159
                      9,                0.27855,                0.39299,                0.37729,                0.85675,                0.67067,                0.70913,                0.76708,                0.76147,                0.65591,                0.69143,                0.73806,                0.72395,                0.21855,                0.84747,                0.31843,                0.81236,             0.00066452,             0.00066452,             0.00066452
                     10,                0.27932,                0.39513,                0.35457,                0.85767,                0.75033,                 0.7969,                0.75904,                0.73448,                0.73312,                 0.7792,                0.73059,                0.69311,                0.26533,                0.90391,                0.34856,                0.83034,             0.00065745,             0.00065745,             0.00065745
                     11,                0.28235,                0.39269,                0.33965,                0.86005,                0.74589,                0.85658,                0.71189,                0.70868,                0.72766,                0.83778,                0.68154,                0.66811,                0.19878,                0.77906,                0.28807,                0.79983,             0.00065038,             0.00065038,             0.00065038
                     12,                0.27318,                0.38773,                0.32754,                0.85709,                0.80012,                0.63648,                0.66184,                0.65541,                0.78242,                0.61878,                0.63051,                0.61781,                0.21189,                0.82193,                0.31042,                0.80599,             0.00064331,             0.00064331,             0.00064331
                     13,                0.27032,                0.39215,                0.31741,                 0.8571,                0.67217,                0.69392,                0.65164,                0.64806,                0.65598,                0.67694,                0.61972,                0.60871,                0.21819,                0.73669,                0.43664,                0.80479,             0.00063625,             0.00063625,             0.00063625
                     14,                0.27347,                0.38157,                0.30212,                0.85593,                0.80508,                0.59885,                0.64825,                0.64339,                0.78233,                0.57672,                0.61104,                0.60197,                0.21944,                0.65079,                0.36563,                0.81003,             0.00062918,             0.00062918,             0.00062918
                     15,                0.27345,                0.37147,                 0.2964,                 0.8575,                0.67809,                0.86068,                0.77742,                0.76981,                0.66246,                0.84297,                0.74886,                0.73509,                0.20604,                0.58626,                0.27538,                0.81186,             0.00062211,             0.00062211,             0.00062211
                     16,                0.26767,                0.37899,                0.28427,                0.85545,                 0.7585,                 0.7332,                0.76413,                0.75953,                0.74291,                0.71662,                0.73752,                0.72972,                0.20418,                   0.69,                0.35292,                0.79806,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.2664,                0.36452,                0.27813,                0.85379,                0.68299,                0.91444,                0.88074,                 0.8734,                0.66574,                0.89561,                0.85108,                0.83674,                0.21139,                0.55219,                0.24672,                0.80262,             0.00060797,             0.00060797,             0.00060797
                     18,                0.26752,                0.37898,                0.27408,                0.85488,                0.65707,                0.80223,                0.73508,                0.72241,                0.64148,                0.78741,                0.69064,                0.67737,                0.19871,                 0.8019,                0.29463,                0.80099,              0.0006009,              0.0006009,              0.0006009
                     19,                0.26816,                 0.3604,                0.26523,                0.85729,                 0.7972,                0.90996,                  0.886,                0.88356,                0.76525,                0.87678,                0.83412,                0.82506,                0.19657,                0.64702,                0.27263,                  0.803,             0.00059383,             0.00059383,             0.00059383
                     20,                0.26603,                0.36351,                0.26524,                0.85627,                0.76084,                0.95002,                0.86367,                0.85561,                0.74289,                0.93119,                0.83505,                0.82192,                0.20474,                0.59661,                 0.2586,                0.80102,             0.00058677,             0.00058677,             0.00058677
                     21,                0.26283,                0.36147,                0.26102,                0.85186,                0.68171,                0.78939,                0.73943,                0.73187,                0.65774,                0.76617,                0.69842,                0.68512,                0.20489,                0.48938,                 0.3555,                0.81052,              0.0005797,              0.0005797,              0.0005797
                     22,                0.26184,                0.34347,                0.24835,                0.85332,                0.87225,                0.84806,                0.85848,                0.84074,                0.84904,                0.82481,                0.82655,                 0.7953,                 0.1886,                0.49671,                0.23573,                0.79646,             0.00057263,             0.00057263,             0.00057263
                     23,                0.26176,                0.34849,                0.24496,                0.85425,                0.74574,                0.92651,                0.87321,                0.86798,                0.72098,                0.84079,                 0.7843,                0.76415,                0.19553,                 1.1235,                0.22455,                 0.7996,             0.00056556,             0.00056556,             0.00056556
                     24,                0.26026,                0.35689,                0.24525,                0.85279,                0.72383,                0.84764,                0.82751,                0.81732,                0.70489,                0.82881,                 0.7974,                0.77714,                0.19943,                0.45103,                0.30836,                0.79759,             0.00055849,             0.00055849,             0.00055849
                     25,                 0.2634,                0.34001,                0.24685,                0.85493,                0.76849,                0.80942,                0.87907,                0.87157,                 0.7503,                0.79059,                 0.8504,                0.83005,                0.21353,                0.59266,                0.27153,                0.81812,             0.00055142,             0.00055142,             0.00055142
                     26,                0.26259,                0.35773,                0.23864,                0.85289,                0.87053,                0.93942,                0.96185,                 0.9485,                0.85176,                0.92057,                0.94229,                0.92172,                0.19191,                0.43302,                0.23483,                0.80348,             0.00054435,             0.00054435,             0.00054435
                     27,                0.26132,                0.35166,                0.24139,                0.85453,                0.73608,                0.84711,                0.86497,                0.86355,                0.72039,                0.82828,                0.83171,                0.82302,                0.18089,                0.61419,                 0.2367,                0.79293,             0.00053728,             0.00053728,             0.00053728
                     28,                0.25422,                 0.3384,                0.23451,                 0.8521,                0.92549,                 0.8429,                0.91686,                0.84729,                0.89875,                0.81659,                0.87721,                0.80101,                0.20508,                0.54634,                0.23627,                0.80828,             0.00053022,             0.00053022,             0.00053022
                     29,                0.25724,                0.34396,                0.23554,                 0.8506,                0.79323,                0.82695,                0.90911,                0.90758,                0.77578,                0.80924,                0.87824,                0.86345,                0.17684,                0.35146,                0.23787,                0.78866,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.2568,                 0.3446,                0.23507,                 0.8515,                 0.8835,                0.86802,                0.90569,                0.90297,                0.85811,                 0.8426,                0.86185,                0.84396,                0.18792,                0.56704,                 0.2132,                0.79853,             0.00051608,             0.00051608,             0.00051608
                     31,                0.25467,                0.33699,                0.22768,                0.85219,                0.87211,                0.90416,                 0.9512,                0.94636,                0.85084,                0.88198,                0.91185,                0.90139,                0.20248,                0.38223,                0.23891,                 0.8028,             0.00050901,             0.00050901,             0.00050901
                     32,                  0.258,                 0.3474,                0.23424,                0.85278,                 0.7979,                 0.8949,                0.91019,                0.90501,                0.77964,                0.87607,                0.88673,                0.87985,                0.19478,                0.35883,                 0.2317,                0.80674,             0.00050194,             0.00050194,             0.00050194
